id	rating	content
0	5	Qua test thử mấy hôm mà thấy mọi thứ đều ok, màu xanh đẹp lắm chả lỡ mua ốp bọc kín nữa, lúc mới nhận hơi lo vì bao bì méo mó, hàng giá trị nếu shop đóng hộp cứng hơn nữa thì tốt
0	5	Đt ngon quá mua xong hết tiền hu hu :))) cảm ơn shop nhiều nha :)))))
0	5	Bạn nào còn đắn đo suy nghĩ nên mua hay không thì hãy xem clip của mình nhé!nếu có thể thì hãy cho mình một like và cũng như là Subscribe nha. À quên ai muốn mua PK điện thoại thì ghé qua mình nhé 
0	5	Đóng gói cẩn thận, màu xám nhưng nhìn góc nào cũng ra xanh 😂. Được cái có ốp lưng kèm theo sẵn nên không sao. mình đổi 1 lượt 3 cái xiaomi của 3 dòng khác nhau. Hy vọng xài tốt
0	5	mìh săn đc giá 3tr8 nên mìh cho 5*NGONBỔRẺ,chứ giá bt thì mìh k thix dòg redmi cho lắm.Sau 14 ngày dùg thì mìh thấy k xuất hiện lỗi phần mềm or cảm ứg, pin mới thì máy nào cũg thế thôi ,lướt vd fb 3h hơn từ 87 tụt về 33%.loa rõ to lướt ở ngoài đườg nghe rõ hơn ip6s.Chụp xử lý màu ảo nhưg k giả trân
0	5	Nsnsjskskskskajjajjjjjjjjjjaoaiuxjsjajanajajajajajsjsjsjkxkcoahakjcstgabxkagshakcinchhwjwikwk
1	4	Máy vỏ ngoài đẹp mới đầu sử dụng mượt nhưng điện thoại không biết sao mà vừa tiếng anh vừa tiếng việt không biết phải hàng chính hãng không . Quảng cáo máy mới chưa qua sử dụng á mà giao là máy cũ à
1	5	Máy hơi bị bể nhẹ, trầy xước  ở bên viền.. Máy lướt cảm ứng nhạy. . Mới xài tạm ổn, về lâu dài thì chưa biết như thế nào. 
1	5	giá phải chăng mình mua cho mẹ xài nên rất thích hợp , hàng chính hãng , cám ơn shop 👍
1	5	Shop giao hàng rất ok,,sản phẩm được đóng gói kỹ ,giao hàng đúng hẹn ,sản phẩm đẹp mới không trầy xước ,các chức năng hoạt động tốt ,màn hình sáng đẹp ,cảm ứng nhạy lướt êm ái,pin bọng xài rất tốt ,nói chung rất hoàn hảo ,nhân viên shop nhiệt tình ,vui vẻ ,chế độ hậu mãi cũng rõ ràng lắm ,mình an tâ
1	5	mình đã nhận hàng đc 3 ngày, xài rất oke,máy cầm tay thật sang chảnh, các ứng dụng chạy rất mượt, màn hình cảm ứng nhạy, camera sắt nét, WiFi mạnh lên mạng lướt web, xem phim chơi game bắn PUBG rất sướng, nói chung là rất ổn định, thật đáng đồng tiền, mình yên tâm khi mua sản phẩm của shop
1	5	shop uy tín, giao hàng đúng hẹn chất lượng đúng như quảng cáo,máy đẹp mới 99%, test qua các các chức năng đều rất ổn định, màn hình cảm ứng nhạy, màu sắc rực rỡ như mong đợi, pin trâu bò sạc rất nhanh,cấu hình mạnh mẽ lên mạng lướt web xem phim chơi game nặng rất oke, mình hài lòng lắm
2	2	Máy hơi ám vàng, lưu hình, viền bị cấn, trầy 2 chổ trên và dưới, pin cảm giác nhanh hết, còn lại thì ok, phải dùng một thời gian nữa mới biết
